AElig 000C6 
GreaterTilde 02273 
Gscr 1D4A2 
Gt 0226B 
HARDcy 0042A 
Hacek 002C7 
Hat 0005E 
Hcirc 00124 
Hfr 0210C 
HilbertSpace 0210B 
Hopf 0210D 
HorizontalLine 02500 
Hscr 0210B 
Hstrok 00126 
HumpDownHump 0224E 
HumpEqual 0224F 
IEcy 00415 
IJlig 00132 
IOcy 00401 
Iacute 000CD 
Icirc 000CE 
Icy 00418 
Idot 00130 
Ifr 02111 
Igrave 000CC 
Im 02111 
Imacr 0012A 
ImaginaryI 02148 
Implies 021D2 
Int 0222C 
Integral 0222B 
Intersection 022C2 
InvisibleComma 02063 
InvisibleTimes 02062 
Iogon 0012E 
Iopf 1D540 
Iota 00399 
Iscr 02110 
Itilde 00128 
Iukcy 00406 
Iuml 000CF 
Jcirc 00134 
Jcy 00419 
Jfr 1D50D 
Jopf 1D541 
Jscr 1D4A5 
Jsercy 00408 
Jukcy 00404 
KHcy 00425 
KJcy 0040C 
Kappa 0039A 
Kcedil 00136 
Kcy 0041A 
Kfr 1D50E 
Kopf 1D542 
Kscr 1D4A6 
LJcy 00409 
LT 0003C 
Lacute 00139 
Lambda 0039B 
Lang 027EA 
Laplacetrf 02112 
Larr 0219E 
Lcaron 0013D 
Lcedil 0013B 
Lcy 0041B 
LeftAngleBracket 027E8 
LeftArrow 02190 
LeftArrowBar 021E4 
LeftArrowRightArrow 021C6 
LeftCeiling 02308 
LeftDoubleBracket 027E6 
LeftDownTeeVector 02961 
LeftDownVector 021C3 
LeftDownVectorBar 02959 
LeftFloor 0230A 
LeftRightArrow 02194 
LeftRightVector 0294E 
LeftTee 022A3 
LeftTeeArrow 021A4 
LeftTeeVector 0295A 
LeftTriangle 022B2 
LeftTriangleBar 029CF 
LeftTriangleEqual 022B4 
LeftUpDownVector 02951 
LeftUpTeeVector 02960 
LeftUpVector 021BF 
LeftUpVectorBar 02958 
LeftVector 021BC 
LeftVectorBar 02952 
Leftarrow 021D0 
Leftrightarrow 021D4 
LessEqualGreater 022DA 
LessFullEqual 02266 
LessGreater 02276 
LessLess 02AA1 
LessSlantEqual 02A7D 
LessTilde 02272 
Lfr 1D50F 
Ll 022D8 
Lleftarrow 021DA 
Lmidot 0013F 
LongLeftArrow 027F5 
LongLeftRightArrow 027F7 
LongRightArrow 027F6 
Longleftarrow 027F8 
Longleftrightarrow 027FA 
Longrightarrow 027F9 
Lopf 1D543 
LowerLeftArrow 02199 
LowerRightArrow 02198 
Lscr 02112 
Lsh 021B0 
Lstrok 00141 
Lt 0226A 
Map 02905 
Mcy 0041C 
MediumSpace 0205F 
Mellintrf 02133 
Mfr 1D510 
MinusPlus 02213 
Mopf 1D544 
Mscr 02133 
Mu 0039C 
NJcy 0040A 
Nacute 00143 
Ncaron 00147 
Ncedil 00145 
Ncy 0041D 
NegativeMediumSpace 0200B 
NegativeThickSpace 0200B 
NegativeThinSpace 0200B 
NegativeVeryThinSpace 0200B 
NestedGreaterGreater 0226B 
NestedLessLess 0226A 
NewLine 0000A 
Nfr 1D511 
NoBreak 02060 
NonBreakingSpace 000A0 
Nopf 02115 
Not 02AEC 
NotCongruent 02262 
NotCupCap 0226D 
NotDoubleVerticalBar 02226 
NotElement 02209 
NotEqual 02260 
NotEqualTilde 02242 00338
NotExists 02204 
NotGreater 0226F 
NotGreaterEqual 02271 
NotGreaterFullEqual 02267 00338
NotGreaterGreater 0226B 00338
NotGreaterLess 02279 
NotGreaterSlantEqual 02A7E 00338
NotGreaterTilde 02275 
NotHumpDownHump 0224E 00338
NotHumpEqual 0224F 00338
NotLeftTriangle 022EA 
NotLeftTriangleBar 029CF 00338
NotLeftTriangleEqual 022EC 
NotLess 0226E 
NotLessEqual 02270 
NotLessGreater 02278 
NotLessLess 0226A 00338
NotLessSlantEqual 02A7D 00338
NotLessTilde 02274 
NotNestedGreaterGreater 02AA2 00338
NotNestedLessLess 02AA1 00338
NotPrecedes 02280 
NotPrecedesEqual 02AAF 00338
NotPrecedesSlantEqual 022E0 
NotReverseElement 0220C 
NotRightTriangle 022EB 
NotRightTriangleBar 029D0 00338
NotRightTriangleEqual 022ED 
NotSquareSubset 0228F 00338
NotSquareSubsetEqual 022E2 
NotSquareSuperset 02290 00338
NotSquareSupersetEqual 022E3 
NotSubset 02282 020D2
NotSubsetEqual 02288 
NotSucceeds 02281 
NotSucceedsEqual 02AB0 00338
NotSucceedsSlantEqual 022E1 
NotSucceedsTilde 0227F 00338
NotSuperset 02283 020D2
NotSupersetEqual 02289 
NotTilde 02241 
NotTildeEqual 02244 
NotTildeFullEqual 02247 
NotTildeTilde 02249 
NotVerticalBar 02224 
Nscr 1D4A9 
Ntilde 000D1 
Nu 0039D 
OElig 00152 
Oacute 000D3 
Ocirc 000D4 
Ocy 0041E 
Odblac 00150 
Ofr 1D512 
Ograve 000D2 
Omacr 0014C 
Omega 003A9 
Omicron 0039F 
Oopf 1D546 
OpenCurlyDoubleQuote 0201C 
OpenCurlyQuote 02018 
Or 02A54 
Oscr 1D4AA 
Oslash 000D8 
Otilde 000D5 
Otimes 02A37 
Ouml 000D6 
OverBar 0203E 
OverBrace 023DE 
OverBracket 023B4 
OverParenthesis 023DC 
PartialD 02202 
Pcy 0041F 
Pfr 1D513 
Phi 003A6 
Pi 003A0 
PlusMinus 000B1 
Poincareplane 0210C 
Popf 02119 
Pr 02ABB 
Precedes 0227A 
PrecedesEqual 02AAF 
PrecedesSlantEqual 0227C 
PrecedesTilde 0227E 
Prime 02033 
Product 0220F 
Proportion 02237 
Proportional 0221D 
Pscr 1D4AB 
Psi 003A8 
QUOT 00022 
Qfr 1D514 
Qopf 0211A 
Qscr 1D4AC 
RBarr 02910 
REG 000AE 
Racute 00154 
Rang 027EB 
Rarr 021A0 
Rarrtl 02916 
Rcaron 00158 
Rcedil 00156 
Rcy 00420 
Re 0211C 
ReverseElement 0220B 
ReverseEquilibrium 021CB 
ReverseUpEquilibrium 0296F 
Rfr 0211C 
Rho 003A1 
RightAngleBracket 027E9 
RightArrow 02192 
RightArrowBar 021E5 
RightArrowLeftArrow 021C4 
RightCeiling 02309 
RightDoubleBracket 027E7 
RightDownTeeVector 0295D 
RightDownVector 021C2 
RightDownVectorBar 02955 
RightFloor 0230B 
RightTee 022A2 
RightTeeArrow 021A6 
RightTeeVector 0295B 
RightTriangle 022B3 
RightTriangleBar 029D0 
RightTriangleEqual 022B5 
RightUpDownVector 0294F 
RightUpTeeVector 0295C 
RightUpVector 021BE 
RightUpVectorBar 02954 
RightVector 021C0 
RightVectorBar 02953 
Rightarrow 021D2 
Ropf 0211D 
RoundImplies 02970 
Rrightarrow 021DB 
Rscr 0211B 
Rsh 021B1 
RuleDelayed 029F4 
SHCHcy 00429 
SHcy 00428 
SOFTcy 0042C 
Sacute 0015A 
Sc 02ABC 
Scaron 00160 
Scedil 0015E 
Scirc 0015C 
Scy 00421 
Sfr 1D516 
ShortDownArrow 02193 
ShortLeftArrow 02190 
ShortRightArrow 02192 
ShortUpArrow 02191 
Sigma 003A3 
SmallCircle 02218 
Sopf 1D54A 
Sqrt 0221A 
Square 025A1 
SquareIntersection 02293 
SquareSubset 0228F 
SquareSubsetEqual 02291 
SquareSuperset 02290 
SquareSupersetEqual 02292 
SquareUnion 02294 
Sscr 1D4AE 
Star 022C6 
Sub 022D0 
Subset 022D0 
SubsetEqual 02286 
Succeeds 0227B 
SucceedsEqual 02AB0 
SucceedsSlantEqual 0227D 
SucceedsTilde 0227F 
SuchThat 0220B 
Sum 02211 
Sup 022D1 
Superset 02283 
SupersetEqual 02287 
Supset 022D1 
THORN 000DE 
TRADE 02122 
TSHcy 0040B 
TScy 00426 
Tab 00009 
Tau 003A4 
Tcaron 00164 
Tcedil 00162 
Tcy 00422 
Tfr 1D517 
Therefore 02234 
Theta 00398 
ThickSpace 0205F 0200A
ThinSpace 02009 
Tilde 0223C 
TildeEqual 02243 
TildeFullEqual 02245 
TildeTilde 02248 
Topf 1D54B 
TripleDot 020DB 
Tscr 1D4AF 
Tstrok 00166 
Uacute 000DA 
Uarr 0219F 
Uarrocir 02949 
Ubrcy 0040E 
Ubreve 0016C 
Ucirc 000DB 
Ucy 00423 
Udblac 00170 
Ufr 1D518 
Ugrave 000D9 
Umacr 0016A 
UnderBar 0005F 
UnderBrace 023DF 
UnderBracket 023B5 
UnderParenthesis 023DD 
Union 022C3 
UnionPlus 0228E 
Uogon 00172 
Uopf 1D54C 
UpArrow 02191 
UpArrowBar 02912 
UpArrowDownArrow 021C5 
UpDownArrow 02195 
UpEquilibrium 0296E 
UpTee 022A5 
UpTeeArrow 021A5 
Uparrow 021D1 
Updownarrow 021D5 
UpperLeftArrow 02196 
UpperRightArrow 02197 
Upsi 003D2 
Upsilon 003A5 
Uring 0016E 
Uscr 1D4B0 
Utilde 00168 
Uuml 000DC 
VDash 022AB 
Vbar 02AEB 
Vcy 00412 
Vdash 022A9 
Vdashl 02AE6 
Vee 022C1 
Verbar 02016 
Vert 02016 
VerticalBar 02223 
VerticalLine 0007C 
VerticalSeparator 02758 
VerticalTilde 02240 
VeryThinSpace 0200A 
Vfr 1D519 
Vopf 1D54D 
Vscr 1D4B1 
Vvdash 022AA 
Wcirc 00174 
Wedge 022C0 
Wfr 1D51A 
Wopf 1D54E 
Wscr 1D4B2 
Xfr 1D51B 
Xi 0039E 
Xopf 1D54F 
Xscr 1D4B3 
YAcy 0042F 
YIcy 00407 
YUcy 0042E 
Yacute 000DD 
Ycirc 00176 
Ycy 0042B 
Yfr 1D51C 
Yopf 1D550 
Yscr 1D4B4 
Yuml 00178 
ZHcy 00416 
Zacute 00179 
Zcaron 0017D 
Zcy 00417 
Zdot 0017B 
ZeroWidthSpace 0200B 
Zeta 00396 
Zfr 02128 
Zopf 02124 
Zscr 1D4B5 
aacute 000E1 
abreve 00103 
ac 0223E 
acE 0223E 00333
acd 0223F 
acirc 000E2 
acute 000B4 
acy 00430 
aelig 000E6 
af 02061 
afr 1D51E 
agrave 000E0 
alefsym 02135 
aleph 02135 
alpha 003B1 
amacr 00101 
amalg 02A3F 
amp 00026 
and 02227 
andand 02A55 
andd 02A5C 
andslope 02A58 
andv 02A5A 
ang 02220 
ange 029A4 
angle 02220 
angmsd 02221 
angmsdaa 029A8 
angmsdab 029A9 
angmsdac 029AA 
angmsdad 029AB 
angmsdae 029AC 
angmsdaf 029AD 
angmsdag 029AE 
angmsdah 029AF 
angrt 0221F 
angrtvb 022BE 
angrtvbd 0299D 
angsph 02222 
angst 000C5 
angzarr 0237C 
aogon 00105 
aopf 1D552 
ap 02248 
apE 02A70 
apacir 02A6F 
ape 0224A 
apid 0224B 
apos 00027 
approx 02248 
approxeq 0224A 
aring 000E5 
ascr 1D4B6 
ast 0002A 
asymp 02248 
asympeq 0224D 
atilde 000E3 
auml 000E4 
awconint 02233 
awint 02A11 
bNot 02AED 
backcong 0224C 
backepsilon 003F6 
backprime 02035 
backsim 0223D 
backsimeq 022CD 
barvee 022BD 
barwed 02305 
barwedge 02305 
bbrk 023B5 
bbrktbrk 023B6 
bcong 0224C 
bcy 00431 
bdquo 0201E 
becaus 02235 
because 02235 
bemptyv 029B0 
bepsi 003F6 
bernou 0212C 
beta 003B2 
beth 02136 
between 0226C 
bfr 1D51F 
bigcap 022C2 
bigcirc 025EF 
bigcup 022C3 
bigodot 02A00 
bigoplus 02A01 
bigotimes 02A02 
bigsqcup 02A06 
bigstar 02605 
bigtriangledown 025BD 
bigtriangleup 025B3 
biguplus 02A04 
bigvee 022C1 
bigwedge 022C0 
bkarow 0290D 
blacklozenge 029EB 
blacksquare 025AA 
blacktriangle 025B4 
blacktriangledown 025BE 
blacktriangleleft 025C2 
blacktriangleright 025B8 
blank 02423 
blk12 02592 
blk14 02591 
blk34 02593 
block 02588 
bne 0003D 020E5
bnequiv 02261 020E5
bnot 02310 
bopf 1D553 
bot 022A5 
bottom 022A5 
bowtie 022C8 
boxDL 02557 
boxDR 02554 
boxDl 02556 
boxDr 02553 
boxH 02550 
boxHD 02566 
boxHU 02569 
boxHd 02564 
boxHu 02567 
boxUL 0255D 
boxUR 0255A 
boxUl 0255C 
boxUr 02559 
boxV 02551 
boxVH 0256C 
boxVL 02563 
boxVR 02560 
boxVh 0256B 
boxVl 02562 
boxVr 0255F 
boxbox 029C9 
boxdL 02555 
boxdR 02552 
boxdl 02510 
boxdr 0250C 
boxh 02500 
boxhD 02565 
boxhU 02568 
boxhd 0252C 
boxhu 02534 
boxminus 0229F 
boxplus 0229E 
boxtimes 022A0 
boxuL 0255B 
boxuR 02558 
boxul 02518 
boxur 02514 
boxv 02502 
boxvH 0256A 
boxvL 02561 
boxvR 0255E 
boxvh 0253C 
boxvl 02524 
boxvr 0251C 
bprime 02035 
breve 002D8 
brvbar 000A6 
bscr 1D4B7 
bsemi 0204F 
bsim 0223D 
bsime 022CD 
bsol 0005C 
bsolb 029C5 
bsolhsub 027C8 
bull 02022 
bullet 02022 
bump 0224E 
bumpE 02AAE 
bumpe 0224F 
bumpeq 0224F 
cacute 00107 
cap 02229 
capand 02A44 
capbrcup 02A49 
capcap 02A4B 
capcup 02A47 
capdot 02A40 
caps 02229 0FE00
caret 02041 
caron 002C7 
ccaps 02A4D 
ccaron 0010D 
ccedil 000E7 
ccirc 00109 
ccups 02A4C 
ccupssm 02A50 
cdot 0010B 
cedil 000B8 
cemptyv 029B2 
cent 000A2 
centerdot 000B7 
cfr 1D520 
chcy 00447 
check 02713 
checkmark 02713 
chi 003C7 
cir 025CB 
cirE 029C3 
circ 002C6 
circeq 02257 
circlearrowleft 021BA 
circlearrowright 021BB 
circledR 000AE 
circledS 024C8 
circledast 0229B 
circledcirc 0229A 
circleddash 0229D 
cire 02257 
cirfnint 02A10 
cirmid 02AEF 
cirscir 029C2 
clubs 02663 
clubsuit 02663 
colon 0003A 
colone 02254 
coloneq 02254 
comma 0002C 
commat 00040 
comp 02201 
compfn 02218 
complement 02201 
complexes 02102 
cong 02245 
congdot 02A6D 
conint 0222E 
copf 1D554 
coprod 02210 
copy 000A9 
copysr 02117 
crarr 021B5 
cross 02717 
cscr 1D4B8 
csub 02ACF 
csube 02AD1 
csup 02AD0 
csupe 02AD2 
ctdot 022EF 
cudarrl 02938 
cudarrr 02935 
cuepr 022DE 
cuesc 022DF 
cularr 021B6 
cularrp 0293D 
cup 0222A 
cupbrcap 02A48 
cupcap 02A46 
cupcup 02A4A 
cupdot 0228D 
cupor 02A45 
cups 0222A 0FE00
curarr 021B7 
curarrm 0293C 
curlyeqprec 022DE 
curlyeqsucc 022DF 
curlyvee 022CE 
curlywedge 022CF 
curren 000A4 
curvearrowleft 021B6 
curvearrowright 021B7 
cuvee 022CE 
cuwed 022CF 
cwconint 02232 
cwint 02231 
cylcty 0232D 
dArr 021D3 
dHar 02965 
dagger 02020 
daleth 02138 
darr 02193 
dash 02010 
dashv 022A3 
dbkarow 0290F 
dblac 002DD 
dcaron 0010F 
dcy 00434 
dd 02146 
ddagger 02021 
ddarr 021CA 
ddotseq 02A77 
deg 000B0 
delta 003B4 
demptyv 029B1 
dfisht 0297F 
dfr 1D521 
dharl 021C3 
dharr 021C2 
diam 022C4 
diamond 022C4 
diamondsuit 02666 
diams 02666 
die 000A8 
digamma 003DD 
disin 022F2 
div 000F7 
divide 000F7 
divideontimes 022C7 
divonx 022C7 
djcy 00452 
dlcorn 0231E 
dlcrop 0230D 
dollar 00024 
dopf 1D555 
dot 002D9 
doteq 02250 
doteqdot 02251 
dotminus 02238 
dotplus 02214 
dotsquare 022A1 
doublebarwedge 02306 
downarrow 02193 
downdownarrows 021CA 
downharpoonleft 021C3 
downharpoonright 021C2 
drbkarow 02910 
drcorn 0231F 
drcrop 0230C 
dscr 1D4B9 
dscy 00455 
dsol 029F6 
dstrok 00111 
dtdot 022F1 
dtri 025BF 
dtrif 025BE 
duarr 021F5 
duhar 0296F 
dwangle 029A6 
dzcy 0045F 
dzigrarr 027FF 
eDDot 02A77 
eDot 02251 
eacute 000E9 
easter 02A6E 
ecaron 0011B 
ecir 02256 
ecirc 000EA 
ecolon 02255 
ecy 0044D 
edot 00117 
ee 02147 
efDot 02252 
efr 1D522 
eg 02A9A 
egrave 000E8 
egs 02A96 
egsdot 02A98 
el 02A99 
elinters 023E7 
ell 02113 
els 02A95 
elsdot 02A97 
emacr 00113 
empty 02205 
emptyset 02205 
emptyv 02205 
emsp 02003 
emsp13 02004 
emsp14 02005 
eng 0014B 
ensp 02002 
eogon 00119 
eopf 1D556 
epar 022D5 
eparsl 029E3 
eplus 02A71 
epsi 003B5 
epsilon 003B5 
epsiv 003F5 
eqcirc 02256 
eqcolon 02255 
eqsim 02242 
eqslantgtr 02A96 
eqslantless 02A95 
equals 0003D 
equest 0225F 
equiv 02261 
equivDD 02A78 
eqvparsl 029E5 
erDot 02253 
erarr 02971 
escr 0212F 
esdot 02250 
esim 02242 
eta 003B7 
eth 000F0 
euml 000EB 
euro 020AC 
excl 00021 
exist 02203 
expectation 02130 
exponentiale 02147 
fallingdotseq 02252 
fcy 00444 
female 02640 
ffilig 0FB03 
fflig 0FB00 
ffllig 0FB04 
ffr 1D523 
filig 0FB01 
fjlig 00066 0006A
flat 0266D 
fllig 0FB02 
fltns 025B1 
fnof 00192 
fopf 1D557 
forall 02200 
fork 022D4 
forkv 02AD9 
fpartint 02A0D 
frac12 000BD 
frac13 02153 
frac14 000BC 
frac15 02155 
frac16 02159 
frac18 0215B 
frac23 02154 
frac25 02156 
frac34 000BE 
frac35 02157 
frac38 0215C 
frac45 02158 
frac56 0215A 
frac58 0215D 
frac78 0215E 
frasl 02044 
frown 02322 
fscr 1D4BB 
gE 02267 
gEl 02A8C 
gacute 001F5 
gamma 003B3 
gammad 003DD 
gap 02A86 
gbreve 0011F 
gcirc 0011D 
gcy 00433 
gdot 00121 
ge 02265 
gel 022DB 
geq 02265 
geqq 02267 
geqslant 02A7E 
ges 02A7E 
gescc 02AA9 
gesdot 02A80 
gesdoto 02A82 
gesdotol 02A84 
gesl 022DB 0FE00
gesles 02A94 
gfr 1D524 
gg 0226B 
ggg 022D9 
gimel 02137 
gjcy 00453 
gl 02277 
glE 02A92 
gla 02AA5 
glj 02AA4 
gnE 02269 
gnap 02A8A 
gnapprox 02A8A 
gne 02A88 
gneq 02A88 
gneqq 02269 
gnsim 022E7 
gopf 1D558 
grave 00060 
gscr 0210A 
gsim 02273 
gsime 02A8E 
gsiml 02A90 
gt 0003E 
gtcc 02AA7 
gtcir 02A7A 
gtdot 022D7 
gtlPar 02995 
gtquest 02A7C 
gtrapprox 02A86 
gtrarr 02978 
gtrdot 022D7 
gtreqless 022DB 
gtreqqless 02A8C 
gtrless 02277 
gtrsim 02273 
gvertneqq 02269 0FE00
gvnE 02269 0FE00
hArr 021D4 
hairsp 0200A 
half 000BD 
hamilt 0210B 
hardcy 0044A 
harr 02194 
harrcir 02948 
harrw 021AD 
hbar 0210F 
hcirc 00125 
hearts 02665 
heartsuit 02665 
hellip 02026 
hercon 022B9 
hfr 1D525 
hksearow 02925 
hkswarow 02926 
hoarr 021FF 
homtht 0223B 
hookleftarrow 021A9 
hookrightarrow 021AA 
hopf 1D559 
horbar 02015 
hscr 1D4BD 
hslash 0210F 
hstrok 00127 
hybull 02043 
hyphen 02010 
iacute 000ED 
ic 02063 
icirc 000EE 
icy 00438 
iecy 00435 
iexcl 000A1 
iff 021D4 
ifr 1D526 
igrave 000EC 
ii 02148 
iiiint 02A0C 
iiint 0222D 
iinfin 029DC 
iiota 02129 
ijlig 00133 
imacr 0012B 
image 02111 
imagline 02110 
imagpart 02111 
imath 00131 
imof 022B7 
imped 001B5 
in 02208 
incare 02105 
infin 0221E 
infintie 029DD 
inodot 00131 
int 0222B 
intcal 022BA 
integers 02124 
intercal 022BA 
intlarhk 02A17 
intprod 02A3C 
iocy 00451 
iogon 0012F 
iopf 1D55A 
iota 003B9 
iprod 02A3C 
iquest 000BF 
iscr 1D4BE 
isin 02208 
isinE 022F9 
isindot 022F5 
isins 022F4 
isinsv 022F3 
isinv 02208 
it 02062 
itilde 00129 
iukcy 00456 
iuml 000EF 
jcirc 00135 
jcy 00439 
jfr 1D527 
jmath 00237 
jopf 1D55B 
jscr 1D4BF 
jsercy 00458 
jukcy 00454 
kappa 003BA 
kappav 003F0 
kcedil 00137 
kcy 0043A 
kfr 1D528 
kgreen 00138 
khcy 00445 
kjcy 0045C 
kopf 1D55C 
kscr 1D4C0 
lAarr 021DA 
lArr 021D0 
lAtail 0291B 
lBarr 0290E 
lE 02266 
lEg 02A8B 
lHar 02962 
lacute 0013A 
laemptyv 029B4 
lagran 02112 
lambda 003BB 
lang 027E8 
langd 02991 
langle 027E8 
lap 02A85 
laquo 000AB 
larr 02190 
larrb 021E4 
larrbfs 0291F 
larrfs 0291D 
larrhk 021A9 
larrlp 021AB 
larrpl 02939 
larrsim 02973 
larrtl 021A2 
lat 02AAB 
latail 02919 
late 02AAD 
lates 02AAD 0FE00
lbarr 0290C 
lbbrk 02772 
lbrace 0007B 
lbrack 0005B 
lbrke 0298B 
lbrksld 0298F 
lbrkslu 0298D 
lcaron 0013E 
lcedil 0013C 
lceil 02308 
lcub 0007B 
lcy 0043B 
ldca 02936 
ldquo 0201C 
ldquor 0201E 
ldrdhar 02967 
ldrushar 0294B 
ldsh 021B2 
le 02264 
leftarrow 02190 
leftarrowtail 021A2 
leftharpoondown 021BD 
leftharpoonup 021BC 
leftleftarrows 021C7 
leftrightarrow 02194 
leftrightarrows 021C6 
leftrightharpoons 021CB 
leftrightsquigarrow 021AD 
leftthreetimes 022CB 
leg 022DA 
leq 02264 
leqq 02266 
leqslant 02A7D 
les 02A7D 
lescc 02AA8 
lesdot 02A7F 
lesdoto 02A81 
lesdotor 02A83 
lesg 022DA 0FE00
lesges 02A93 
lessapprox 02A85 
lessdot 022D6 
lesseqgtr 022DA 
lesseqqgtr 02A8B 
lessgtr 02276 
lesssim 02272 
lfisht 0297C 
lfloor 0230A 
lfr 1D529 
lg 02276 
lgE 02A91 
lhard 021BD 
lharu 021BC 
lharul 0296A 
lhblk 02584 
ljcy 00459 
ll 0226A 
llarr 021C7 
llcorner 0231E 
llhard 0296B 
lltri 025FA 
lmidot 00140 
lmoust 023B0 
lmoustache 023B0 
lnE 02268 
lnap 02A89 
lnapprox 02A89 
lne 02A87 
lneq 02A87 
lneqq 02268 
lnsim 022E6 
loang 027EC 
loarr 021FD 
lobrk 027E6 
longleftarrow 027F5 
longleftrightarrow 027F7 
longmapsto 027FC 
longrightarrow 027F6 
looparrowleft 021AB 
looparrowright 021AC 
lopar 02985 
lopf 1D55D 
loplus 02A2D 
lotimes 02A34 
lowast 02217 
lowbar 0005F 
loz 025CA 
lozenge 025CA 
lozf 029EB 
lpar 00028 
lparlt 02993 
lrarr 021C6 
lrcorner 0231F 
lrhar 021CB 
lrhard 0296D 
lrm 0200E 
lrtri 022BF 
lsaquo 02039 
lscr 1D4C1 
lsh 021B0 
lsim 02272 
lsime 02A8D 
lsimg 02A8F 
lsqb 0005B 
lsquo 02018 
lsquor 0201A 
lstrok 00142 
lt 0003C 
ltcc 02AA6 
ltcir 02A79 
ltdot 022D6 
lthree 022CB 
ltimes 022C9 
ltlarr 02976 
ltquest 02A7B 
ltrPar 02996 
ltri 025C3 
ltrie 022B4 
ltrif 025C2 
lurdshar 0294A 
luruhar 02966 
lvertneqq 02268 0FE00
lvnE 02268 0FE00
mDDot 0223A 
macr 000AF 
male 02642 
malt 02720 
maltese 02720 
map 021A6 
mapsto 021A6 
mapstodown 021A7 
mapstoleft 021A4 
mapstoup 021A5 
marker 025AE 
mcomma 02A29 
mcy 0043C 
mdash 02014 
measuredangle 02221 
mfr 1D52A 
mho 02127 
micro 000B5 
mid 02223 
midast 0002A 
midcir 02AF0 
middot 000B7 
minus 02212 
minusb 0229F 
minusd 02238 
minusdu 02A2A 
mlcp 02ADB 
mldr 02026 
mnplus 02213 
models 022A7 
mopf 1D55E 
mp 02213 
